 	Задача	Аккаунт
 	Общедоступная часть	 
1	Хедер. Проверка ссылки Заявки покупателей	 
2	Хедер. Проверка ссылки Товары продавцов	 
3	Проверка логотипа UMIT	 
4	Хедер. Проверка кнопок Регистрация/Вход	 
5	Проверка слайдера	 
 	 	 
 	Расширенный поиск	 
1	Проверка табов Авто/спецтехника	 
2	Проверка чек-боксов Заявки на покупку/Товары продавцов	 
3	Проверка дроп-листа марки авто/модель авто/тип запчасти/год/выбор города	 
4	Заполнить поле ключевые слова	 
5	Успешное применение поиска	 
6	Очистить поиск	 
 	 	 
 	Поле поиска	 
1	Проверить поиск по наименованию/типу/марке/модели/году/городу	 
2	Очистить поиск кнопкой крестик	 
 	 	 
 	Новые заявки	 
1	Переключение по карточкам	 
2	Переход на страницу всех заявок	 
3	Поделиться заявкой (страница авторизации)	 
4	Добавить в избранное (страница авторизации)	 
5	 Добавить заметку (страница авторизации)	 
6	 Сообщение (страница авторизации)	 
 	 	 
 	Детальная карточки заявки	 
1	Просмотр фото (при наличии)	 
2	Поделиться заявкой (страница авторизации)	 
3	Написать сообщение (страница авторизации)	 
4	Предложить (страница авторизации)	 
5	Нажать подробнее/скрыть	 
6	Перейти на страницу профиля продавца	 
 	 	 
 	Новые товары	 
1	Переключение по карточкам	 
2	Переход на страницу всех товаров	 
3	Поделиться товаром (страница авторизации)	 
4	Добавить в избранное (страница авторизации)	 
5	Добавить в корзину (страница авторизации)	 
 	 	 
 	Детальная карточка товара	 
1	Просмотр фото (при наличии)	 
2	Поделиться товаром (страница авторизации)	 
3	Написать сообщение (страница авторизации)	 
4	Добавить в корзину (страница авторизации)	 
5	Перейти на страницу профиля продавца	 
 	 	 
 	Все заявки	 
1	Проверить скроллинг и подгрузку заявок по нажатию кнопки Показать еще (при наличии заявок)	 
2	Поделиться заявкой (страница авторизации)	 
3	Добавить в избранное (страница авторизации)	 
4	Добавить заметку (страница авторизации)	 
5	Сообщение (страница авторизации)	 
6	Переход на детальную Заявки	 
7	Расширенный поиск:
          - проверка табов Авто/спецтехника
          - проверка дроп-листов марки авто/модель авто/тип запчасти/год/выбор города
          - заполнить поле ключевые слова
          - успешное применение поиска
          - очистить поиск	 
 	 	 
 	Все товары	 
1	Проверить скроллинг и подгрузку товаров по нажатию кнопки Показать еще (при наличии заявок)	 
2	Поделиться товаром (страница авторизации)	 
3	Добавить в избранное (страница авторизации)	 
4	Добавить в корзину (страница авторизации)	 
5	Переход на детальную товара	 
6	Расширенный поиск:
          - проверка табов Авто/спецтехника
          - проверка дроп-листов марки авто/модель авто/тип запчасти/год/выбор города
          - заполнить поле ключевые слова
          - успешное применение поиска
          - очистить поиск	 
 	 	 
 	Футер	 
1	Проверка лого UMIT	 
2	Проверка ссылок на мобильные приложения	 
3	Проверка ссылок на соц. Сети	 
4	Проверка ссылок Стать продавцом, пользовательское соглашение, Политика конфиденциальности	 
 	 	 
 	Авторизация	 
1	Проверка валидации поля телефона	 
2	Проверка валидации поля пароля	 
3	Проверка переключения кода страны	 
4	Проверка кнопки парольного глаза	 
5	Проверка ссылки Зарегистрироваться	 
6	Проверка ссылки Забыли пароль	 
7	Успешная авторизация	 
 	 	 
 	Форма восстановления пароля	 
1	Проверка валидации поля номер телефона	 
2	Проверка кнопки Отправить проверочный код и Вернуться на страницу входа	 
3	Проверка переключения кода страны	 
 	 	 
 	Форма регистрации	 
1	Проверка валидации поля номер телефона	 
2	Проверка ссылки обработки персональных данных	 
3	Проверка чек-бокса персональных данных	 
4	Проверка ссылок пользовательского соглашения и политики	 
5	Проверка кнопки Войти	 
6	Проверка переключения кода страны	 
 	 	 
 	 	 
 	Профиль покупателя	 
 	Заявки/Вкладка актуальные	 
 	Проверка создания заявки	 
1	Нажать кнопку Создать заявку	 
2	Нажать таб Авто	 
3	В выпадающем списке Выбрать авто выбрать значение Nissan, Note	 
4	В выпадающем списке Тип запчасти выбрать значение Трансмиссия	 
5	Поле Название / Каталожный номер заполнить значением EX55310C5150	 
6	Поле Дополнительная информация заполнить значением Амортизаторы	 
7	В поле Количество, шт ввести значение 2	 
8	В выпадающем списке Выбрать папку выбрать значение Без папки	 
9	В выпадающем списке Способ доставки выбрать значение СДЭК 	 
10	В выпадающем списке Город получения выбрать значение Казань, Татарстан	 
11	Добавить фото (по возможности)	 
12	Активировать чек-боксы Искать в моем городе и Искать только оригинал	 
13	Нажать кнопку Разместить заявку	 
14	Проверить корректное отображение созданной заявки в разделе Актуальные	 
 	 	 
 	Заявки/Вкладка актуальные	 
 	Перемещение заявки в Историю	 
1	Создать заявку и перейти на вкладку Актуальные	 
2	Нажать три точки на карточке заявки, открыто модальное окно с кнопками	 
3	Нажать кнопку Переместить в историю, открыто модальное окно подтверждения перемещения	 
4	Нажать кнопку Да, модальное окно закрыто, открыта вкладка Актуальные	 
5	Перейти в историю заявок нажатием на вкладку История	 
6	Проверить корректное перемещение в историю заявок	 
 	 	 
 	Заявки/Вкладка актуальные	 
 	Проверка функционала формы создания заявки 	 
1	Перейти в раздел Заявки на вкладку Актуальные	 
2	Нажать на кнопку Создать заявку, открыта форма Новая заявка	 
3	Проверка переключения "Авто/Спецтехника"	 
4	Проверка валидации обязательных полей	 
5	Написание текста в поле "Дополнительная информация"	 
6	Добавить фото	 
7	Проверить галочки "Искать только в моем городе"/"Искать только оригинал"	 
8	Проверить кнопку "Разместить заявку"	 
9	Проверить кнопку "Назад", в появившемся окне проверить сохранение заявки и ее публикацию кнопкой "Да"	 
10	Проверить кнопку "Назад", в появившемся окне отменить сохранение новой заявки и ее публикацию кнопкой "Нет"	 
11	Проверить созданную заявку в папке "Актуальные"	 
 	 	 
 	Страница Заявки	 
1	Проверить скроллинг и подгрузку заявок по нажатию кнопки "Показать еще" (при наличии заявок)	 
2	Проверить нажатием трех точек на одной из заявок раскрывающееся окно:
         - Проверить кнопку "переместить заявку в историю"
         - Проверить кнопку "переместить в папку"
         - Проверить кнопку "поделиться"
         - Проверить кнопку "Копировать"
         - Проверить кнопку "удалить"	 
3	Проверить кнопку "Предложения" на одной из заявок	 
4	проверить смену отображения заявок с сетки на строчный	 
5	Проверить кнопку раздела "История" и наличие заявок (если перемещались заявки в историю)	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	Переделать под др. Формат	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
20	Склад:
- Проверить скроллинг и подгрузку товаров по нажатию кнопки "Показать еще"
- Проверить кнопку "Расширенный поиск"
          - проверка табов Авто/спецтехника
          - проверка дроп-листов марки авто/модель авто/тип запчасти/год/выбор города
          - заполнить поле ключевые слова
          - успешное применение поиска
          - очистить поиск
- Проверить переключение раскладки товара с сетки на строчный и на оборот
- Проверить кнопку "Поделиться" товаром
- Проверить добавление товара в Избранное кнопкой сердечко (проверить в папке "избранное" добавленный товар)
- Проверить ссылку перехода на страницу продавца товара.
- На странице продавца проверить кнопки Отзывы (Все/Положительные/Отрицательные)
- Проверить открытие ветрины продавца:
                    - проверить кнопку "Поделиться товаром"
                    - проверить добавление товара в Избранное кнопкой сердечко (проверить в папке "избранное" добавленный товар)
                    - добавить товар в "корзину"
- Проверить форму создания подборки:
          - проверка табов Авто/спецтехника
          - проверка дроп-листов марки авто/модель авто/тип запчасти/год/выбор города
          - заполнить поле ключевые слова
          - успешное применение подборки
          - очистить подборку
- Редактировать подборку
- Удалить подборку	 
21	Сообщения:
- Проверить форму "сообщение в техподдержку":
           - E-mail
           - Заполнить текстом графу "Ваш вопрос"
           - Прикрепить файл
           - Установить галочку "я согласен на обработку персональных данных"
           - Проверить ссылку на "обработку персональных данных"
           - Проверить кнопку "Отправить"
- Проверить форму поиска чата
- Проверить набор сообщения в выбранном чате
- Проверить форму "прикрепить файл" и "Отправить"
- Проверить переход к заявке в выбранном чате
- Проверить открытие изображения в заявке (при наличии изображения)	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
 	 	 
1	Проверить переход во вкладку "Заявки"	Покупатель
2	Проверка отображения имеющихся заявок	Покупатель
3	Просмотр предложений по имеющимся заявкам	Покупатель
4	Создать папку во вкладке "Заявки" и присвоить имя "Избранное"	Покупатель
5	Создать заявку на товар	Покупатель
6	Переместить любую/несколько заявку(ок) в папку "Избранное"	Покупатель
7	Проверить отображение заявки(ок) в папке "Избранное"	Покупатель
8	Проверка вкладки "История" заявок	Покупатель
9	Сменить раскладку заявок в столбец и обратно в сетку	Покупатель
10	Проверить отображение заявок кнопкой "Показать еще"	Покупатель
11	Открытие одной из заявок (проверить увеличение изображения товара при наличии)	Покупатель
12	Развернуть описание карточки техники клавишей "Подробнее"	Покупатель
13	На главной странице проверить переход по ссылке "Политика конфиденциальности"	Покупатель
14	На главной странице проверить переход по ссылке "Пользовательское соглашение"	Покупатель
15	На главной странице проверить переход по ссылке приложение в "App Store"	Покупатель
16	На главной странице проверить переход по ссылке приложение в "Google Play"	Покупатель
17	На главной странице проверить переход по ссылке приложение в "ВКонтакте"	Покупатель
18	На главной странице проверить переход по ссылке приложение в "youtube"	Покупатель
19	На главной странице проверить переход по ссылке "Стать продавцом"	Покупатель
20	Проверить переход во вкладку "Склад"	Покупатель
21	Сменить раскладку товаров в столбец и обратно в сетку	Покупатель
22	Создать папку во вкладке "Склад" и присвоить имя "Избранное"	Покупатель
